task,metric,mean,std,mean_plus_minus_sd
Task_A,auprc,0.5319154409064356,0.032244726238984986,0.5319 ± 0.0322
Task_A,auroc,0.6729526710212369,0.035208169120379135,0.6730 ± 0.0352
Task_A,precision,0.49249307086996236,0.013405755851586678,0.4925 ± 0.0134
Task_A,recall,0.8421052631578947,0.03651987110633731,0.8421 ± 0.0365
Task_A,f1,0.6214393470875864,0.019564317902820958,0.6214 ± 0.0196
Task_A,brier,0.24083875250606587,0.01698717133837156,0.2408 ± 0.0170
Task_B,auprc,0.08942615072222714,0.004109810560662924,0.0894 ± 0.0041
Task_B,auroc,0.6001358234295416,0.017176339234587418,0.6001 ± 0.0172
Task_B,precision,0.3952380952380952,0.10722219284950193,0.3952 ± 0.1072
Task_B,recall,0.1052631578947368,0.0,0.1053 ± 0.0000
Task_B,f1,0.16480862133036042,0.010161656569212417,0.1648 ± 0.0102
Task_B,brier,0.16760765431527525,0.014591504446009195,0.1676 ± 0.0146
