bin,count,mean_probability,empirical_frequency,absolute_gap
0,388,0.04352451083220198,0.5077319587628866,0.4642074479306846
1,332,0.14886076290905306,0.39156626506024095,0.24270550215118789
2,314,0.252102748151783,0.35668789808917195,0.10458514993738893
3,285,0.34529810390062593,0.34385964912280703,0.0014384547778188983
4,292,0.4514511747717006,0.2568493150684932,0.19460185970320742
5,302,0.5494300911292839,0.22847682119205298,0.3209532699372309
6,213,0.6497810885294147,0.3615023474178404,0.28827874111157437
7,188,0.7470170119914469,0.5531914893617021,0.19382552262974473
8,176,0.8518880395863342,0.6079545454545454,0.24393349413178878
9,94,0.952718172512848,0.44680851063829785,0.5059096618745501
