bin,count,mean_probability,empirical_frequency,absolute_gap
0,755,0.02944190236722318,0.6185430463576159,0.5891011439903927
1,272,0.14991260673897056,0.33455882352941174,0.1846462167904412
2,239,0.254595399748954,0.19665271966527198,0.05794268008368203
3,200,0.3460141514,0.16,0.18601415140000002
4,143,0.44869720174825184,0.11188811188811189,0.33680908986013997
5,146,0.5506618574657535,0.15753424657534246,0.39312761089041104
6,145,0.6474661924827585,0.15172413793103448,0.49574205455172404
7,133,0.752338229849624,0.21804511278195488,0.534293117067669
8,156,0.852325466025641,0.24358974358974358,0.6087357224358974
9,375,0.9692249810133335,0.656,0.3132249810133335
