bin,count,mean_probability,empirical_frequency,absolute_gap
0,668,0.03951055840393402,0.0029940119760479044,0.03651654642788611
1,450,0.14784152985032134,0.006666666666666667,0.1411748631836547
2,400,0.24887821059387435,0.005,0.24387821059387435
3,383,0.3510897923392345,0.005221932114882507,0.34586786022435195
4,299,0.44767286733165684,0.020066889632107024,0.42760597769954983
5,198,0.5432450556026137,0.020202020202020204,0.5230430354005935
6,82,0.642648443898393,0.06097560975609756,0.5816728341422954
7,37,0.7492793064781466,0.05405405405405406,0.6952252524240925
8,29,0.8454616391153486,0.06896551724137931,0.7764961218739692
9,13,0.924468754367757,0.07692307692307693,0.8475456774446801
