bin,count,mean_probability,empirical_frequency,absolute_gap
0,598,0.035474248939835785,0.005016722408026756,0.03045752653180903
1,516,0.15054996039341084,0.003875968992248062,0.14667399140116277
2,408,0.24598264745098042,0.0,0.24598264745098042
3,302,0.34846131609271525,0.023178807947019868,0.32528250814569537
4,240,0.44978136375,0.020833333333333332,0.4289480304166667
5,171,0.5503060652046784,0.011695906432748537,0.5386101587719299
6,135,0.652191003037037,0.014814814814814815,0.6373761882222222
7,106,0.7497930632075471,0.03773584905660377,0.7120572141509434
8,62,0.8456760077419354,0.03225806451612903,0.8134179432258064
9,21,0.9234289461904762,0.09523809523809523,0.828190850952381
