sample,time_sec
56,0.56
157,1.57
256,2.56
355,3.55
453,4.53
556,5.56
664,6.64
775,7.75
880,8.8
981,9.81
1077,10.77
1179,11.79
1283,12.83
1382,13.82
1479,14.79
1572,15.72
1668,16.68
1767,17.67
1862,18.62
1957,19.57
2051,20.51
2154,21.54
2257,22.57
2353,23.53
2446,24.46
2537,25.37
2626,26.26
2713,27.13
2798,27.98
2884,28.84
2976,29.76
3068,30.68
3157,31.57
3249,32.49
3345,33.45
3442,34.42
3535,35.35
3628,36.28
3722,37.22
3818,38.18
3908,39.08
3997,39.97
4085,40.85
4172,41.72
4259,42.59
4344,43.44
4427,44.27
4511,45.11
4595,45.95
4681,46.81
4771,47.71
4865,48.65
4962,49.62
5063,50.63
5166,51.66
5271,52.71
5378,53.78
5482,54.82
5579,55.79
5675,56.75
5772,57.72
5874,58.74
5975,59.75
6076,60.76
6177,61.77
6275,62.75
6372,63.72
6474,64.74
6575,65.75
6674,66.74
6772,67.72
6874,68.74
6976,69.76
7077,70.77
7175,71.75
7272,72.72
7367,73.67
7461,74.61
7561,75.61
7667,76.67
7774,77.74
7875,78.75
7972,79.72
8072,80.72
8176,81.76
8273,82.73
8365,83.65
8458,84.58
8549,85.49
8637,86.37
8722,87.22
8809,88.09
8899,88.99
8996,89.96
9101,91.01
9211,92.11
9317,93.17
9418,94.18
9518,95.18
9624,96.24
9733,97.33
9846,98.46
9953,99.53
10052,100.52
10156,101.56
10261,102.61
10365,103.65
10465,104.65
10562,105.62
10664,106.64
10769,107.69
10875,108.75
10976,109.76
11075,110.75
11170,111.7
11272,112.72
11379,113.79
11508,115.08
11638,116.38
11752,117.52
11857,118.57
11960,119.6
12065,120.65
12165,121.65
12258,122.58
12360,123.6
12463,124.63
12561,125.61
12649,126.49
12735,127.35
12823,128.23
12912,129.12
13002,130.02
13092,130.92
13182,131.82
13278,132.78
13374,133.74
13472,134.72
13567,135.67
13663,136.63
13760,137.6
13852,138.52
13944,139.44
14040,140.4
14133,141.33
14225,142.25
14318,143.18
14410,144.1
14501,145.01
14589,145.89
14677,146.77
14765,147.65
14854,148.54
14945,149.45
15040,150.4
15138,151.38
15235,152.35
15331,153.31
15431,154.31
15536,155.36
15643,156.43
15749,157.49
15850,158.5
15951,159.51
16055,160.55
16157,161.57
16256,162.56
16352,163.52
16450,164.5
16554,165.54
16664,166.64
16775,167.75
16881,168.81
16982,169.82
17088,170.88
17194,171.94
17299,172.99
17404,174.04
17502,175.02
17597,175.97
17692,176.92
17785,177.85
17880,178.8
17980,179.8
18085,180.85
18192,181.92
18298,182.98
18400,184.0
18509,185.09
18621,186.21
18730,187.3
18831,188.31
18928,189.28
19027,190.27
19127,191.27
19220,192.2
19311,193.11
19406,194.06
19509,195.09
19615,196.15
19717,197.17
19823,198.23
19933,199.33
20038,200.38
20138,201.38
20237,202.37
20332,203.32
20424,204.24
20514,205.14
20604,206.04
20695,206.95
20787,207.87
20884,208.84
20986,209.86
21088,210.88
21189,211.89
21290,212.9
21393,213.93
21494,214.94
21590,215.9
21687,216.87
21786,217.86
21885,218.85
21981,219.81
22078,220.78
22180,221.8
22278,222.78
22374,223.74
22472,224.72
22571,225.71
22667,226.67
22762,227.62
22860,228.6
22956,229.56
23050,230.5
23144,231.44
23241,232.41
23338,233.38
23432,234.32
23528,235.28
23623,236.23
23717,237.17
23810,238.1
23899,238.99
23989,239.89
24078,240.78
24167,241.67
24259,242.59
24354,243.54
24449,244.49
24543,245.43
24639,246.39
24736,247.36
24832,248.32
24926,249.26
25021,250.21
25117,251.17
25213,252.13
25307,253.07
25400,254.0
25493,254.93
