sample,time_sec
16118,161.18
16183,161.83
16615,166.15
16729,167.29
16889,168.89
16993,169.93
17355,173.55
17468,174.68
19502,195.02
21537,215.37
21670,216.7
21736,217.36
21831,218.31
26098,260.98
43648,436.48
43711,437.11
43793,437.93
43970,439.7
44300,443.0
44380,443.8
47564,475.64
53519,535.19
53845,538.45
56667,566.67
56880,568.8
56982,569.82
57080,570.8
57921,579.21
58299,582.99
59926,599.26
60020,600.2
60109,601.09
60202,602.02
60292,602.92
60385,603.85
60485,604.85
60551,605.51
60618,606.18
60698,606.98
60797,607.97
60899,608.99
60999,609.99
61095,610.95
61187,611.87
61276,612.76
61366,613.66
61459,614.59
61554,615.54
61649,616.49
61737,617.37
61828,618.28
61921,619.21
62013,620.13
62105,621.05
62196,621.96
62277,622.77
62354,623.54
62430,624.3
62508,625.08
62591,625.91
62671,626.71
62751,627.51
62842,628.42
62931,629.31
63024,630.24
63118,631.18
63204,632.04
63292,632.92
63384,633.84
63481,634.81
63572,635.72
63668,636.68
63765,637.65
63862,638.62
63967,639.67
64067,640.67
64163,641.63
64259,642.59
64357,643.57
64450,644.5
64536,645.36
64617,646.17
64693,646.93
64774,647.74
64850,648.5
64929,649.29
65009,650.09
65094,650.94
65175,651.75
65256,652.56
65337,653.37
65412,654.12
65491,654.91
65571,655.71
65657,656.57
65741,657.41
65827,658.27
65909,659.09
65996,659.96
66085,660.85
66182,661.82
66277,662.77
66375,663.75
66473,664.73
66572,665.72
66668,666.68
66767,667.67
66865,668.65
66959,669.59
67044,670.44
67124,671.24
67201,672.01
67296,672.96
67406,674.06
67517,675.17
67620,676.2
67725,677.25
67826,678.26
67928,679.28
68016,680.16
68104,681.04
68202,682.02
68287,682.87
68377,683.77
68467,684.67
68566,685.66
68664,686.64
68759,687.59
68855,688.55
68951,689.51
69047,690.47
69143,691.43
69229,692.29
69320,693.2
69414,694.14
69513,695.13
69610,696.1
69701,697.01
69791,697.91
69881,698.81
69964,699.64
70045,700.45
70134,701.34
70207,702.07
70259,702.59
70340,703.4
70441,704.41
70539,705.39
70634,706.34
70725,707.25
70805,708.05
70882,708.82
70961,709.61
71051,710.51
71143,711.43
71248,712.48
71354,713.54
71411,714.11
71459,714.59
71513,715.13
71563,715.63
71659,716.59
71756,717.56
71849,718.49
71944,719.44
72035,720.35
72133,721.33
72229,722.29
72326,723.26
72429,724.29
72526,725.26
72628,726.28
72726,727.26
72827,728.27
72927,729.27
73025,730.25
73122,731.22
73214,732.14
73299,732.99
73393,733.93
73487,734.87
73585,735.85
73685,736.85
73779,737.79
73876,738.76
73977,739.77
74073,740.73
74173,741.73
74264,742.64
74352,743.52
74441,744.41
74528,745.28
74621,746.21
74714,747.14
74807,748.07
74893,748.93
74978,749.78
75060,750.6
