sample,time_sec
49335,493.35
49389,493.89
49450,494.5
49509,495.09
49557,495.57
49604,496.04
49644,496.44
49718,497.18
49805,498.05
49892,498.92
50030,500.3
50085,500.85
50142,501.42
50181,501.81
50237,502.37
50279,502.79
50315,503.15
50379,503.79
50414,504.14
50470,504.7
75586,755.86
75667,756.67
75721,757.21
75775,757.75
75837,758.37
75895,758.95
75962,759.62
76029,760.29
76091,760.91
76153,761.53
76229,762.29
76305,763.05
76382,763.82
76461,764.61
76542,765.42
76624,766.24
76706,767.06
76787,767.87
76868,768.68
76947,769.47
77023,770.23
77099,770.99
77172,771.72
77243,772.43
77313,773.13
77385,773.85
77466,774.66
77550,775.5
77634,776.34
77721,777.21
77808,778.08
77894,778.94
77975,779.75
78052,780.52
78126,781.26
78200,782.0
78278,782.78
78360,783.6
78448,784.48
78539,785.39
78629,786.29
78720,787.2
78810,788.1
78899,788.99
78987,789.87
79075,790.75
79161,791.61
79247,792.47
79334,793.34
79417,794.17
79498,794.98
79583,795.83
79671,796.71
79757,797.57
79847,798.47
79933,799.33
80019,800.19
80106,801.06
80189,801.89
80275,802.75
80360,803.6
80445,804.45
80531,805.31
80617,806.17
80702,807.02
80786,807.86
80869,808.69
80947,809.47
81025,810.25
81102,811.02
81180,811.8
81259,812.59
81338,813.38
81418,814.18
81497,814.97
81575,815.75
81650,816.5
81723,817.23
81794,817.94
81863,818.63
81930,819.3
81999,819.99
82080,820.8
82167,821.67
82257,822.57
82348,823.48
82433,824.33
82511,825.11
82585,825.85
82658,826.58
82732,827.32
82804,828.04
82877,828.77
82950,829.5
83023,830.23
83097,830.97
83172,831.72
83247,832.47
83320,833.2
83392,833.92
83464,834.64
83538,835.38
83613,836.13
83691,836.91
83770,837.7
83850,838.5
83930,839.3
84008,840.08
84088,840.88
84172,841.72
84260,842.6
84348,843.48
84433,844.33
84519,845.19
84604,846.04
84688,846.88
84772,847.72
84855,848.55
84938,849.38
85021,850.21
85103,851.03
85185,851.85
85265,852.65
85344,853.44
85422,854.22
85506,855.06
85595,855.95
85684,856.84
85772,857.72
85858,858.58
85941,859.41
86022,860.22
86099,860.99
86175,861.75
86252,862.52
86333,863.33
86416,864.16
86498,864.98
86581,865.81
86669,866.69
86759,867.59
86849,868.49
86937,869.37
87029,870.29
87108,871.08
87187,871.87
87269,872.69
87350,873.5
87430,874.3
87510,875.1
87591,875.91
87669,876.69
87744,877.44
87818,878.18
87893,878.93
87970,879.7
88051,880.51
88134,881.34
88218,882.18
88300,883.0
88383,883.83
88463,884.63
88544,885.44
88624,886.24
88703,887.03
88780,887.8
88858,888.58
88936,889.36
89016,890.16
89099,890.99
89181,891.81
89263,892.63
89343,893.43
89420,894.2
89494,894.94
89566,895.66
89636,896.36
89705,897.05
89777,897.77
89860,898.6
89949,899.49
90040,900.4
90130,901.3
90220,902.2
90308,903.08
90392,903.92
90475,904.75
90555,905.55
90638,906.38
90724,907.24
90816,908.16
90908,909.08
90997,909.97
91085,910.85
91170,911.7
91253,912.53
91337,913.37
91421,914.21
91506,915.06
91591,915.91
91677,916.77
91759,917.59
91838,918.38
91918,919.18
91998,919.98
92079,920.79
92158,921.58
92233,922.33
92308,923.08
92387,923.87
92464,924.64
92543,925.43
92623,926.23
92704,927.04
92786,927.86
92870,928.7
92951,929.51
93029,930.29
93106,931.06
93184,931.84
93268,932.68
93354,933.54
93439,934.39
93524,935.24
93610,936.1
93694,936.94
93779,937.79
93863,938.63
93946,939.46
94028,940.28
94110,941.1
94189,941.89
94267,942.67
94345,943.45
94425,944.25
94508,945.08
94594,945.94
94679,946.79
94763,947.63
94846,948.46
94926,949.26
95006,950.06
95087,950.87
95168,951.68
95251,952.51
95333,953.33
95417,954.17
95500,955.0
95583,955.83
95664,956.64
95742,957.42
95819,958.19
95896,958.96
95974,959.74
96057,960.57
96142,961.42
96227,962.27
96309,963.09
96390,963.9
96469,964.69
96551,965.51
96637,966.37
96723,967.23
96809,968.09
96894,968.94
96977,969.77
97060,970.6
97143,971.43
97225,972.25
97307,973.07
97389,973.89
97471,974.71
97549,975.49
97627,976.27
97707,977.07
97789,977.89
97871,978.71
97951,979.51
98033,980.33
98116,981.16
98199,981.99
98281,982.81
98362,983.62
98444,984.44
98523,985.23
98579,985.79
98621,986.21
98666,986.66
98709,987.09
98755,987.55
98800,988.0
98842,988.42
98896,988.96
98950,989.5
99013,990.13
99261,992.61
99340,993.4
99761,997.61
100012,1000.12
100517,1005.17
100683,1006.83
100934,1009.34
101011,1010.11
101085,1010.85
101158,1011.58
101231,1012.31
101303,1013.03
101374,1013.74
101443,1014.43
101513,1015.13
101584,1015.84
101658,1016.58
101732,1017.32
101807,1018.07
101883,1018.83
101961,1019.61
102040,1020.4
102121,1021.21
102202,1022.02
102281,1022.81
102358,1023.58
102433,1024.33
102508,1025.08
102585,1025.85
102670,1026.7
102760,1027.6
102848,1028.48
102937,1029.37
103025,1030.25
103111,1031.11
103197,1031.97
103280,1032.8
103361,1033.61
103440,1034.4
103520,1035.2
103602,1036.02
103696,1036.96
103787,1037.87
103876,1038.76
103964,1039.64
104049,1040.49
104133,1041.33
104214,1042.14
104296,1042.96
104375,1043.75
104453,1044.53
104531,1045.31
104608,1046.08
104689,1046.89
104775,1047.75
104863,1048.63
104949,1049.49
105035,1050.35
105121,1051.21
105205,1052.05
105289,1052.89
105371,1053.71
105453,1054.53
105534,1055.34
105614,1056.14
105694,1056.94
105772,1057.72
105850,1058.5
105927,1059.27
106009,1060.09
106094,1060.94
106180,1061.8
106265,1062.65
106350,1063.5
106431,1064.31
106510,1065.1
106589,1065.89
106668,1066.68
106750,1067.5
106834,1068.34
106918,1069.18
107002,1070.02
107086,1070.86
107170,1071.7
107252,1072.52
107332,1073.32
107414,1074.14
107497,1074.97
107581,1075.81
107664,1076.64
107748,1077.48
107829,1078.29
107908,1079.08
107985,1079.85
108064,1080.64
108145,1081.45
108228,1082.28
108313,1083.13
108396,1083.96
108477,1084.77
108558,1085.58
108639,1086.39
108719,1087.19
108798,1087.98
108876,1088.76
108953,1089.53
109029,1090.29
109104,1091.04
109178,1091.78
109252,1092.52
109327,1093.27
109404,1094.04
109482,1094.82
109561,1095.61
109639,1096.39
109717,1097.17
109793,1097.93
109869,1098.69
109944,1099.44
110022,1100.22
110100,1101.0
110178,1101.78
110258,1102.58
110340,1103.4
110422,1104.22
110505,1105.05
110587,1105.87
110668,1106.68
110750,1107.5
110833,1108.33
110917,1109.17
111000,1110.0
111081,1110.81
111164,1111.64
111247,1112.47
111332,1113.32
111418,1114.18
111502,1115.02
111583,1115.83
111665,1116.65
111747,1117.47
111828,1118.28
111907,1119.07
111989,1119.89
112074,1120.74
112159,1121.59
112243,1122.43
112325,1123.25
112406,1124.06
112488,1124.88
112570,1125.7
112650,1126.5
112728,1127.28
112806,1128.06
112884,1128.84
112958,1129.58
113033,1130.33
113107,1131.07
113182,1131.82
113255,1132.55
113330,1133.3
113406,1134.06
113486,1134.86
113565,1135.65
113644,1136.44
113721,1137.21
113797,1137.97
113874,1138.74
113952,1139.52
114028,1140.28
114105,1141.05
114181,1141.81
114258,1142.58
114334,1143.34
114412,1144.12
114489,1144.89
114566,1145.66
114643,1146.43
114720,1147.2
114795,1147.95
114870,1148.7
114946,1149.46
115020,1150.2
115095,1150.95
115168,1151.68
115239,1152.39
115310,1153.1
115382,1153.82
115454,1154.54
115525,1155.25
115596,1155.96
115666,1156.66
115736,1157.36
115807,1158.07
115876,1158.76
115944,1159.44
116013,1160.13
116081,1160.81
116149,1161.49
116217,1162.17
116285,1162.85
116353,1163.53
116422,1164.22
116491,1164.91
116560,1165.6
116631,1166.31
116702,1167.02
116773,1167.73
116845,1168.45
116916,1169.16
116986,1169.86
117054,1170.54
117122,1171.22
117189,1171.89
117255,1172.55
117320,1173.2
117385,1173.85
117450,1174.5
117515,1175.15
117580,1175.8
117644,1176.44
117708,1177.08
117772,1177.72
117835,1178.35
117898,1178.98
117961,1179.61
118027,1180.27
118094,1180.94
118164,1181.64
118236,1182.36
118308,1183.08
118383,1183.83
118456,1184.56
118530,1185.3
118606,1186.06
118681,1186.81
118756,1187.56
118830,1188.3
118899,1188.99
118970,1189.7
119041,1190.41
119114,1191.14
119189,1191.89
119265,1192.65
119342,1193.42
119420,1194.2
119499,1194.99
119575,1195.75
119651,1196.51
119728,1197.28
119806,1198.06
119886,1198.86
119966,1199.66
120045,1200.45
120123,1201.23
120201,1202.01
120281,1202.81
120363,1203.63
120446,1204.46
120525,1205.25
120603,1206.03
120683,1206.83
120765,1207.65
120846,1208.46
120928,1209.28
121009,1210.09
121090,1210.9
121170,1211.7
121250,1212.5
121331,1213.31
121413,1214.13
121495,1214.95
121576,1215.76
121656,1216.56
121737,1217.37
121820,1218.2
121905,1219.05
121992,1219.92
122078,1220.78
122161,1221.61
122243,1222.43
122324,1223.24
122402,1224.02
122481,1224.81
122562,1225.62
122644,1226.44
122724,1227.24
122804,1228.04
122886,1228.86
122969,1229.69
123054,1230.54
123136,1231.36
123214,1232.14
123289,1232.89
123363,1233.63
123438,1234.38
123513,1235.13
123591,1235.91
123673,1236.73
123758,1237.58
123841,1238.41
123925,1239.25
124003,1240.03
124082,1240.82
124159,1241.59
124234,1242.34
124308,1243.08
124381,1243.81
124454,1244.54
124527,1245.27
124599,1245.99
124673,1246.73
124746,1247.46
124821,1248.21
124899,1248.99
124982,1249.82
125065,1250.65
125148,1251.48
125230,1252.3
125309,1253.09
125384,1253.84
125459,1254.59
125534,1255.34
125611,1256.11
125686,1256.86
125765,1257.65
125844,1258.44
125922,1259.22
126000,1260.0
126077,1260.77
126151,1261.51
126222,1262.22
126292,1262.92
126361,1263.61
126428,1264.28
126496,1264.96
126565,1265.65
126633,1266.33
126700,1267.0
126768,1267.68
126836,1268.36
126905,1269.05
126975,1269.75
127045,1270.45
127116,1271.16
127187,1271.87
127257,1272.57
