subject_id,minute_index,annotation_sample,annotation_time_sec,annotation_time_min,symbol,label,expected_window_start_sample,expected_window_end_sample
a01,0,0,0.0,0.0,N,0,0,6000
a01,1,6000,60.0,1.0,N,0,6000,12000
a01,2,12000,120.0,2.0,N,0,12000,18000
a01,3,18000,180.0,3.0,N,0,18000,24000
a01,4,24000,240.0,4.0,N,0,24000,30000
a01,5,30000,300.0,5.0,N,0,30000,36000
a01,6,36000,360.0,6.0,N,0,36000,42000
a01,7,42000,420.0,7.0,N,0,42000,48000
a01,8,48000,480.0,8.0,N,0,48000,54000
a01,9,54000,540.0,9.0,N,0,54000,60000
a01,10,60000,600.0,10.0,N,0,60000,66000
a01,11,66000,660.0,11.0,N,0,66000,72000
a01,12,72000,720.0,12.0,N,0,72000,78000
a01,13,78000,780.0,13.0,A,1,78000,84000
a01,14,84000,840.0,14.0,A,1,84000,90000
a01,15,90000,900.0,15.0,A,1,90000,96000
a01,16,96000,960.0,16.0,A,1,96000,102000
a01,17,102000,1020.0,17.0,A,1,102000,108000
a01,18,108000,1080.0,18.0,A,1,108000,114000
a01,19,114000,1140.0,19.0,A,1,114000,120000
a01,20,120000,1200.0,20.0,A,1,120000,126000
a01,21,126000,1260.0,21.0,A,1,126000,132000
a01,22,132000,1320.0,22.0,A,1,132000,138000
a01,23,138000,1380.0,23.0,A,1,138000,144000
a01,24,144000,1440.0,24.0,A,1,144000,150000
a01,25,150000,1500.0,25.0,A,1,150000,156000
a01,26,156000,1560.0,26.0,A,1,156000,162000
a01,27,162000,1620.0,27.0,A,1,162000,168000
a01,28,168000,1680.0,28.0,A,1,168000,174000
a01,29,174000,1740.0,29.0,A,1,174000,180000
a01,30,180000,1800.0,30.0,A,1,180000,186000
a01,31,186000,1860.0,31.0,A,1,186000,192000
a01,32,192000,1920.0,32.0,A,1,192000,198000
a01,33,198000,1980.0,33.0,A,1,198000,204000
a01,34,204000,2040.0,34.0,A,1,204000,210000
a01,35,210000,2100.0,35.0,A,1,210000,216000
a01,36,216000,2160.0,36.0,A,1,216000,222000
a01,37,222000,2220.0,37.0,A,1,222000,228000
a01,38,228000,2280.0,38.0,A,1,228000,234000
a01,39,234000,2340.0,39.0,A,1,234000,240000
a01,40,240000,2400.0,40.0,A,1,240000,246000
a01,41,246000,2460.0,41.0,A,1,246000,252000
a01,42,252000,2520.0,42.0,A,1,252000,258000
a01,43,258000,2580.0,43.0,A,1,258000,264000
a01,44,264000,2640.0,44.0,A,1,264000,270000
a01,45,270000,2700.0,45.0,A,1,270000,276000
a01,46,276000,2760.0,46.0,A,1,276000,282000
a01,47,282000,2820.0,47.0,A,1,282000,288000
a01,48,288000,2880.0,48.0,A,1,288000,294000
a01,49,294000,2940.0,49.0,A,1,294000,300000
a01,50,300000,3000.0,50.0,A,1,300000,306000
a01,51,306000,3060.0,51.0,A,1,306000,312000
a01,52,312000,3120.0,52.0,A,1,312000,318000
a01,53,318000,3180.0,53.0,A,1,318000,324000
a01,54,324000,3240.0,54.0,A,1,324000,330000
a01,55,330000,3300.0,55.0,A,1,330000,336000
a01,56,336000,3360.0,56.0,A,1,336000,342000
a01,57,342000,3420.0,57.0,A,1,342000,348000
a01,58,348000,3480.0,58.0,A,1,348000,354000
a01,59,354000,3540.0,59.0,A,1,354000,360000
a01,60,360000,3600.0,60.0,A,1,360000,366000
a01,61,366000,3660.0,61.0,A,1,366000,372000
a01,62,372000,3720.0,62.0,A,1,372000,378000
a01,63,378000,3780.0,63.0,A,1,378000,384000
a01,64,384000,3840.0,64.0,A,1,384000,390000
a01,65,390000,3900.0,65.0,A,1,390000,396000
a01,66,396000,3960.0,66.0,A,1,396000,402000
a01,67,402000,4020.0,67.0,A,1,402000,408000
a01,68,408000,4080.0,68.0,A,1,408000,414000
a01,69,414000,4140.0,69.0,A,1,414000,420000
a01,70,420000,4200.0,70.0,A,1,420000,426000
a01,71,426000,4260.0,71.0,A,1,426000,432000
a01,72,432000,4320.0,72.0,A,1,432000,438000
a01,73,438000,4380.0,73.0,A,1,438000,444000
a01,74,444000,4440.0,74.0,A,1,444000,450000
a01,75,450000,4500.0,75.0,A,1,450000,456000
a01,76,456000,4560.0,76.0,A,1,456000,462000
a01,77,462000,4620.0,77.0,A,1,462000,468000
a01,78,468000,4680.0,78.0,A,1,468000,474000
a01,79,474000,4740.0,79.0,A,1,474000,480000
a01,80,480000,4800.0,80.0,A,1,480000,486000
a01,81,486000,4860.0,81.0,A,1,486000,492000
a01,82,492000,4920.0,82.0,A,1,492000,498000
a01,83,498000,4980.0,83.0,A,1,498000,504000
a01,84,504000,5040.0,84.0,A,1,504000,510000
a01,85,510000,5100.0,85.0,A,1,510000,516000
a01,86,516000,5160.0,86.0,A,1,516000,522000
a01,87,522000,5220.0,87.0,A,1,522000,528000
a01,88,528000,5280.0,88.0,A,1,528000,534000
a01,89,534000,5340.0,89.0,A,1,534000,540000
a01,90,540000,5400.0,90.0,A,1,540000,546000
a01,91,546000,5460.0,91.0,A,1,546000,552000
a01,92,552000,5520.0,92.0,A,1,552000,558000
a01,93,558000,5580.0,93.0,A,1,558000,564000
a01,94,564000,5640.0,94.0,A,1,564000,570000
a01,95,570000,5700.0,95.0,A,1,570000,576000
a01,96,576000,5760.0,96.0,A,1,576000,582000
a01,97,582000,5820.0,97.0,A,1,582000,588000
a01,98,588000,5880.0,98.0,A,1,588000,594000
a01,99,594000,5940.0,99.0,A,1,594000,600000
a01,100,600000,6000.0,100.0,A,1,600000,606000
a01,101,606000,6060.0,101.0,A,1,606000,612000
a01,102,612000,6120.0,102.0,A,1,612000,618000
a01,103,618000,6180.0,103.0,A,1,618000,624000
a01,104,624000,6240.0,104.0,A,1,624000,630000
a01,105,630000,6300.0,105.0,A,1,630000,636000
