subject_id,record_available,channels,n_channels,ecg_channels,resp_channels,spo2_channels,other_channels,sampling_rate,duration_sec,error
a01,True,ECG,1,ECG,,,,100.0,29570.0,
a02,True,ECG,1,ECG,,,,100.0,31820.0,
a03,True,ECG,1,ECG,,,,100.0,31350.0,
a05,True,ECG,1,ECG,,,,100.0,27195.0,
a06,True,ECG,1,ECG,,,,100.0,30580.0,
a07,True,ECG,1,ECG,,,,100.0,30605.0,
a08,True,ECG,1,ECG,,,,100.0,30025.0,
a09,True,ECG,1,ECG,,,,100.0,29880.0,
a11,True,ECG,1,ECG,,,,100.0,28080.0,
a12,True,ECG,1,ECG,,,,100.0,34620.0,
a13,True,ECG,1,ECG,,,,100.0,29655.0,
a14,True,ECG,1,ECG,,,,100.0,31350.0,
a15,True,ECG,1,ECG,,,,100.0,30560.0,
a16,True,ECG,1,ECG,,,,100.0,28880.0,
a18,True,ECG,1,ECG,,,,100.0,29570.0,
a19,True,ECG,1,ECG,,,,100.0,30120.0,
a20,True,ECG,1,ECG,,,,100.0,30600.0,
b01,True,ECG,1,ECG,,,,100.0,29170.0,
b02,True,ECG,1,ECG,,,,100.0,31705.0,
b04,True,ECG,1,ECG,,,,100.0,25730.0,
b05,True,ECG,1,ECG,,,,100.0,25935.0,
c01,True,ECG,1,ECG,,,,100.0,28990.0,
c02,True,ECG,1,ECG,,,,100.0,30070.0,
c03,True,ECG,1,ECG,,,,100.0,27200.0,
c04,True,ECG,1,ECG,,,,100.0,28870.0,
c06,True,ECG,1,ECG,,,,100.0,28040.0,
c07,True,ECG,1,ECG,,,,100.0,25690.0,
c08,True,ECG,1,ECG,,,,100.0,30840.0,
c09,True,ECG,1,ECG,,,,100.0,28050.0,
c10,True,ECG,1,ECG,,,,100.0,25850.0,
