subject_id,split,task,minute_index,window_start_sample,window_end_sample,window_start_sec,window_end_sec,symbol,target,target_minute,history_start_minute,history_end_minute,history_start_sec,prediction_time_sec,future_end_sec,history_start_sample,prediction_time_sample,future_end_sample,previous_label,current_label
a01,validation,A_detection,0.0,0.0,6000.0,0.0,60.0,N,0,,,,,,,,,,,
a01,validation,A_detection,1.0,6000.0,12000.0,60.0,120.0,N,0,,,,,,,,,,,
a01,validation,A_detection,2.0,12000.0,18000.0,120.0,180.0,N,0,,,,,,,,,,,
a01,validation,A_detection,3.0,18000.0,24000.0,180.0,240.0,N,0,,,,,,,,,,,
a01,validation,A_detection,4.0,24000.0,30000.0,240.0,300.0,N,0,,,,,,,,,,,
a01,validation,A_detection,5.0,30000.0,36000.0,300.0,360.0,N,0,,,,,,,,,,,
a01,validation,A_detection,6.0,36000.0,42000.0,360.0,420.0,N,0,,,,,,,,,,,
a01,validation,A_detection,7.0,42000.0,48000.0,420.0,480.0,N,0,,,,,,,,,,,
a01,validation,A_detection,8.0,48000.0,54000.0,480.0,540.0,N,0,,,,,,,,,,,
a01,validation,A_detection,9.0,54000.0,60000.0,540.0,600.0,N,0,,,,,,,,,,,
a01,validation,A_detection,10.0,60000.0,66000.0,600.0,660.0,N,0,,,,,,,,,,,
a01,validation,A_detection,11.0,66000.0,72000.0,660.0,720.0,N,0,,,,,,,,,,,
a01,validation,A_detection,12.0,72000.0,78000.0,720.0,780.0,N,0,,,,,,,,,,,
a01,validation,A_detection,13.0,78000.0,84000.0,780.0,840.0,A,1,,,,,,,,,,,
a01,validation,A_detection,14.0,84000.0,90000.0,840.0,900.0,A,1,,,,,,,,,,,
a01,validation,A_detection,15.0,90000.0,96000.0,900.0,960.0,A,1,,,,,,,,,,,
a01,validation,A_detection,16.0,96000.0,102000.0,960.0,1020.0,A,1,,,,,,,,,,,
a01,validation,A_detection,17.0,102000.0,108000.0,1020.0,1080.0,A,1,,,,,,,,,,,
a01,validation,A_detection,18.0,108000.0,114000.0,1080.0,1140.0,A,1,,,,,,,,,,,
a01,validation,A_detection,19.0,114000.0,120000.0,1140.0,1200.0,A,1,,,,,,,,,,,
a01,validation,A_detection,20.0,120000.0,126000.0,1200.0,1260.0,A,1,,,,,,,,,,,
a01,validation,A_detection,21.0,126000.0,132000.0,1260.0,1320.0,A,1,,,,,,,,,,,
a01,validation,A_detection,22.0,132000.0,138000.0,1320.0,1380.0,A,1,,,,,,,,,,,
a01,validation,A_detection,23.0,138000.0,144000.0,1380.0,1440.0,A,1,,,,,,,,,,,
a01,validation,A_detection,24.0,144000.0,150000.0,1440.0,1500.0,A,1,,,,,,,,,,,
a01,validation,A_detection,25.0,150000.0,156000.0,1500.0,1560.0,A,1,,,,,,,,,,,
a01,validation,A_detection,26.0,156000.0,162000.0,1560.0,1620.0,A,1,,,,,,,,,,,
a01,validation,A_detection,27.0,162000.0,168000.0,1620.0,1680.0,A,1,,,,,,,,,,,
a01,validation,A_detection,28.0,168000.0,174000.0,1680.0,1740.0,A,1,,,,,,,,,,,
a01,validation,A_detection,29.0,174000.0,180000.0,1740.0,1800.0,A,1,,,,,,,,,,,
a01,validation,A_detection,30.0,180000.0,186000.0,1800.0,1860.0,A,1,,,,,,,,,,,
a01,validation,A_detection,31.0,186000.0,192000.0,1860.0,1920.0,A,1,,,,,,,,,,,
a01,validation,A_detection,32.0,192000.0,198000.0,1920.0,1980.0,A,1,,,,,,,,,,,
a01,validation,A_detection,33.0,198000.0,204000.0,1980.0,2040.0,A,1,,,,,,,,,,,
a01,validation,A_detection,34.0,204000.0,210000.0,2040.0,2100.0,A,1,,,,,,,,,,,
a01,validation,A_detection,35.0,210000.0,216000.0,2100.0,2160.0,A,1,,,,,,,,,,,
a01,validation,A_detection,36.0,216000.0,222000.0,2160.0,2220.0,A,1,,,,,,,,,,,
a01,validation,A_detection,37.0,222000.0,228000.0,2220.0,2280.0,A,1,,,,,,,,,,,
a01,validation,A_detection,38.0,228000.0,234000.0,2280.0,2340.0,A,1,,,,,,,,,,,
a01,validation,A_detection,39.0,234000.0,240000.0,2340.0,2400.0,A,1,,,,,,,,,,,
a01,validation,A_detection,40.0,240000.0,246000.0,2400.0,2460.0,A,1,,,,,,,,,,,
a01,validation,A_detection,41.0,246000.0,252000.0,2460.0,2520.0,A,1,,,,,,,,,,,
a01,validation,A_detection,42.0,252000.0,258000.0,2520.0,2580.0,A,1,,,,,,,,,,,
a01,validation,A_detection,43.0,258000.0,264000.0,2580.0,2640.0,A,1,,,,,,,,,,,
a01,validation,A_detection,44.0,264000.0,270000.0,2640.0,2700.0,A,1,,,,,,,,,,,
a01,validation,A_detection,45.0,270000.0,276000.0,2700.0,2760.0,A,1,,,,,,,,,,,
a01,validation,A_detection,46.0,276000.0,282000.0,2760.0,2820.0,A,1,,,,,,,,,,,
a01,validation,A_detection,47.0,282000.0,288000.0,2820.0,2880.0,A,1,,,,,,,,,,,
a01,validation,A_detection,48.0,288000.0,294000.0,2880.0,2940.0,A,1,,,,,,,,,,,
a01,validation,A_detection,49.0,294000.0,300000.0,2940.0,3000.0,A,1,,,,,,,,,,,
a01,validation,A_detection,50.0,300000.0,306000.0,3000.0,3060.0,A,1,,,,,,,,,,,
a01,validation,A_detection,51.0,306000.0,312000.0,3060.0,3120.0,A,1,,,,,,,,,,,
a01,validation,A_detection,52.0,312000.0,318000.0,3120.0,3180.0,A,1,,,,,,,,,,,
a01,validation,A_detection,53.0,318000.0,324000.0,3180.0,3240.0,A,1,,,,,,,,,,,
a01,validation,A_detection,54.0,324000.0,330000.0,3240.0,3300.0,A,1,,,,,,,,,,,
a01,validation,A_detection,55.0,330000.0,336000.0,3300.0,3360.0,A,1,,,,,,,,,,,
a01,validation,A_detection,56.0,336000.0,342000.0,3360.0,3420.0,A,1,,,,,,,,,,,
a01,validation,A_detection,57.0,342000.0,348000.0,3420.0,3480.0,A,1,,,,,,,,,,,
a01,validation,A_detection,58.0,348000.0,354000.0,3480.0,3540.0,A,1,,,,,,,,,,,
a01,validation,A_detection,59.0,354000.0,360000.0,3540.0,3600.0,A,1,,,,,,,,,,,
a01,validation,A_detection,60.0,360000.0,366000.0,3600.0,3660.0,A,1,,,,,,,,,,,
a01,validation,A_detection,61.0,366000.0,372000.0,3660.0,3720.0,A,1,,,,,,,,,,,
a01,validation,A_detection,62.0,372000.0,378000.0,3720.0,3780.0,A,1,,,,,,,,,,,
a01,validation,A_detection,63.0,378000.0,384000.0,3780.0,3840.0,A,1,,,,,,,,,,,
a01,validation,A_detection,64.0,384000.0,390000.0,3840.0,3900.0,A,1,,,,,,,,,,,
a01,validation,A_detection,65.0,390000.0,396000.0,3900.0,3960.0,A,1,,,,,,,,,,,
a01,validation,A_detection,66.0,396000.0,402000.0,3960.0,4020.0,A,1,,,,,,,,,,,
a01,validation,A_detection,67.0,402000.0,408000.0,4020.0,4080.0,A,1,,,,,,,,,,,
a01,validation,A_detection,68.0,408000.0,414000.0,4080.0,4140.0,A,1,,,,,,,,,,,
a01,validation,A_detection,69.0,414000.0,420000.0,4140.0,4200.0,A,1,,,,,,,,,,,
a01,validation,A_detection,70.0,420000.0,426000.0,4200.0,4260.0,A,1,,,,,,,,,,,
a01,validation,A_detection,71.0,426000.0,432000.0,4260.0,4320.0,A,1,,,,,,,,,,,
a01,validation,A_detection,72.0,432000.0,438000.0,4320.0,4380.0,A,1,,,,,,,,,,,
a01,validation,A_detection,73.0,438000.0,444000.0,4380.0,4440.0,A,1,,,,,,,,,,,
a01,validation,A_detection,74.0,444000.0,450000.0,4440.0,4500.0,A,1,,,,,,,,,,,
a01,validation,A_detection,75.0,450000.0,456000.0,4500.0,4560.0,A,1,,,,,,,,,,,
a01,validation,A_detection,76.0,456000.0,462000.0,4560.0,4620.0,A,1,,,,,,,,,,,
a01,validation,A_detection,77.0,462000.0,468000.0,4620.0,4680.0,A,1,,,,,,,,,,,
a01,validation,A_detection,78.0,468000.0,474000.0,4680.0,4740.0,A,1,,,,,,,,,,,
a01,validation,A_detection,79.0,474000.0,480000.0,4740.0,4800.0,A,1,,,,,,,,,,,
a01,validation,A_detection,80.0,480000.0,486000.0,4800.0,4860.0,A,1,,,,,,,,,,,
a01,validation,A_detection,81.0,486000.0,492000.0,4860.0,4920.0,A,1,,,,,,,,,,,
a01,validation,A_detection,82.0,492000.0,498000.0,4920.0,4980.0,A,1,,,,,,,,,,,
a01,validation,A_detection,83.0,498000.0,504000.0,4980.0,5040.0,A,1,,,,,,,,,,,
a01,validation,A_detection,84.0,504000.0,510000.0,5040.0,5100.0,A,1,,,,,,,,,,,
a01,validation,A_detection,85.0,510000.0,516000.0,5100.0,5160.0,A,1,,,,,,,,,,,
a01,validation,A_detection,86.0,516000.0,522000.0,5160.0,5220.0,A,1,,,,,,,,,,,
a01,validation,A_detection,87.0,522000.0,528000.0,5220.0,5280.0,A,1,,,,,,,,,,,
a01,validation,A_detection,88.0,528000.0,534000.0,5280.0,5340.0,A,1,,,,,,,,,,,
a01,validation,A_detection,89.0,534000.0,540000.0,5340.0,5400.0,A,1,,,,,,,,,,,
a01,validation,A_detection,90.0,540000.0,546000.0,5400.0,5460.0,A,1,,,,,,,,,,,
a01,validation,A_detection,91.0,546000.0,552000.0,5460.0,5520.0,A,1,,,,,,,,,,,
a01,validation,A_detection,92.0,552000.0,558000.0,5520.0,5580.0,A,1,,,,,,,,,,,
a01,validation,A_detection,93.0,558000.0,564000.0,5580.0,5640.0,A,1,,,,,,,,,,,
a01,validation,A_detection,94.0,564000.0,570000.0,5640.0,5700.0,A,1,,,,,,,,,,,
a01,validation,A_detection,95.0,570000.0,576000.0,5700.0,5760.0,A,1,,,,,,,,,,,
a01,validation,A_detection,96.0,576000.0,582000.0,5760.0,5820.0,A,1,,,,,,,,,,,
a01,validation,A_detection,97.0,582000.0,588000.0,5820.0,5880.0,A,1,,,,,,,,,,,
a01,validation,A_detection,98.0,588000.0,594000.0,5880.0,5940.0,A,1,,,,,,,,,,,
a01,validation,A_detection,99.0,594000.0,600000.0,5940.0,6000.0,A,1,,,,,,,,,,,
a01,validation,A_detection,100.0,600000.0,606000.0,6000.0,6060.0,A,1,,,,,,,,,,,
a01,validation,A_detection,101.0,606000.0,612000.0,6060.0,6120.0,A,1,,,,,,,,,,,
a01,validation,A_detection,102.0,612000.0,618000.0,6120.0,6180.0,A,1,,,,,,,,,,,
a01,validation,A_detection,103.0,618000.0,624000.0,6180.0,6240.0,A,1,,,,,,,,,,,
a01,validation,A_detection,104.0,624000.0,630000.0,6240.0,6300.0,A,1,,,,,,,,,,,
a01,validation,A_detection,105.0,630000.0,636000.0,6300.0,6360.0,A,1,,,,,,,,,,,
a01,validation,A_detection,106.0,636000.0,642000.0,6360.0,6420.0,A,1,,,,,,,,,,,
a01,validation,A_detection,107.0,642000.0,648000.0,6420.0,6480.0,A,1,,,,,,,,,,,
a01,validation,A_detection,108.0,648000.0,654000.0,6480.0,6540.0,A,1,,,,,,,,,,,
a01,validation,A_detection,109.0,654000.0,660000.0,6540.0,6600.0,A,1,,,,,,,,,,,
a01,validation,A_detection,110.0,660000.0,666000.0,6600.0,6660.0,A,1,,,,,,,,,,,
a01,validation,A_detection,111.0,666000.0,672000.0,6660.0,6720.0,A,1,,,,,,,,,,,
a01,validation,A_detection,112.0,672000.0,678000.0,6720.0,6780.0,A,1,,,,,,,,,,,
a01,validation,A_detection,113.0,678000.0,684000.0,6780.0,6840.0,A,1,,,,,,,,,,,
a01,validation,A_detection,114.0,684000.0,690000.0,6840.0,6900.0,A,1,,,,,,,,,,,
a01,validation,A_detection,115.0,690000.0,696000.0,6900.0,6960.0,A,1,,,,,,,,,,,
